Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0805_2012Metric,137.16,-117.094,180.0,bottom
C2,22pF,C_0805_2012Metric,145.796,-128.143,0.0,bottom
C3,22pF,C_0805_2012Metric,145.796,-125.7935,0.0,bottom
C4,0.1uF,C_0805_2012Metric,127.889,-130.556,90.0,bottom
C5,0.1uF,C_0805_2012Metric,126.365,-123.063,-90.0,bottom
C6,0.1uF,C_0805_2012Metric,137.541,-134.62,0.0,bottom
C7,0.1uF,C_0805_2012Metric,141.4526,-123.19,0.0,bottom
C8,10uF,C_0805_2012Metric,129.159,-121.793,180.0,bottom
C9,0.1uF,C_0805_2012Metric,88.9,-60.071,90.0,bottom
C10,0.1uF,C_0805_2012Metric,317.373,-75.184,0.0,bottom
C11,0.1uF,C_0805_2012Metric,246.634,-117.856,-90.0,bottom
C12,0.1uF,C_0805_2012Metric,315.087,-122.936,-90.0,bottom
C13,0.1uF,C_0805_2012Metric,38.354,-74.041,0.0,bottom
C14,0.1uF,C_0805_2012Metric,282.829,-122.047,90.0,bottom
C15,0.1uF,C_0805_2012Metric,43.688,-96.774,0.0,bottom
C16,0.1uF,C_0805_2012Metric,303.657,-62.357,-90.0,bottom
C17,0.1uF,C_0805_2012Metric,83.185,-119.507,90.0,bottom
C18,0.1uF,C_0805_2012Metric,207.899,-117.729,90.0,bottom
C19,0.1uF,C_0805_2012Metric,123.571,-124.079,180.0,bottom
C20,0.1uF,C_0805_2012Metric,169.926,-117.729,-90.0,bottom
C21,0.1uF,C_0805_2012Metric,268.732,-62.23,90.0,bottom
C22,0.1uF,C_0805_2012Metric,192.659,-62.23,90.0,bottom
C23,0.1uF,C_0805_2012Metric,164.211,-61.087,-90.0,bottom
C24,0.1uF,C_0805_2012Metric,313.944,-94.107,180.0,bottom
C25,0.1uF,C_0805_2012Metric,50.292,-113.665,0.0,bottom
C26,0.1uF,C_0805_2012Metric,127.0,-60.071,-90.0,bottom
C27,0.1uF,C_0805_2012Metric,230.759,-62.23,-90.0,bottom
C28,0.1uF,C_0805_2012Metric,53.975,-59.944,90.0,bottom
D1,D_Small,D_SOD-123F,50.8,-55.5625,90.0,bottom
D2,~,D_SOD-123F,69.85,-55.5625,90.0,bottom
D3,~,D_SOD-123F,88.9,-55.5625,90.0,bottom
D4,~,D_SOD-123F,107.95,-55.5625,90.0,bottom
D5,~,D_SOD-123F,127.0,-55.5625,90.0,bottom
D6,~,D_SOD-123F,146.05,-55.5625,90.0,bottom
D7,~,D_SOD-123F,165.1,-55.5625,90.0,bottom
D8,~,D_SOD-123F,184.15,-55.5625,90.0,bottom
D9,~,D_SOD-123F,203.2,-55.5625,90.0,bottom
D10,~,D_SOD-123F,222.25,-55.5625,90.0,bottom
D11,~,D_SOD-123F,241.3,-55.5625,90.0,bottom
D12,~,D_SOD-123F,260.35,-55.5625,90.0,bottom
D13,~,D_SOD-123F,279.4,-55.5625,90.0,bottom
D14,~,D_SOD-123F,298.45,-55.5625,90.0,bottom
D15,~,D_SOD-123F,317.5,-55.5625,90.0,bottom
D16,~,D_SOD-123F,55.5625,-75.40625,90.0,bottom
D17,~,D_SOD-123F,79.375,-75.40625,90.0,bottom
D18,~,D_SOD-123F,98.425,-75.40625,90.0,bottom
D19,~,D_SOD-123F,117.475,-75.40625,90.0,bottom
D20,~,D_SOD-123F,136.525,-75.40625,90.0,bottom
D21,~,D_SOD-123F,155.575,-75.40625,90.0,bottom
D22,~,D_SOD-123F,174.625,-75.40625,90.0,bottom
D23,~,D_SOD-123F,193.675,-75.40625,90.0,bottom
D24,~,D_SOD-123F,212.725,-75.40625,90.0,bottom
D25,~,D_SOD-123F,231.775,-75.40625,90.0,bottom
D26,~,D_SOD-123F,250.825,-75.40625,90.0,bottom
D27,~,D_SOD-123F,269.875,-75.40625,90.0,bottom
D28,~,D_SOD-123F,288.925,-75.40625,90.0,bottom
D29,~,D_SOD-123F,300.83125,-75.40625,90.0,bottom
D30,~,D_SOD-123F,57.94375,-94.26875,90.0,bottom
D31,~,D_SOD-123F,84.1375,-94.45625,90.0,bottom
D32,~,D_SOD-123F,103.1875,-94.45625,90.0,bottom
D33,~,D_SOD-123F,122.2375,-94.45625,90.0,bottom
D34,~,D_SOD-123F,141.2875,-94.45625,90.0,bottom
D35,~,D_SOD-123F,160.3375,-94.45625,90.0,bottom
D36,~,D_SOD-123F,179.3875,-94.45625,90.0,bottom
D37,~,D_SOD-123F,198.4375,-94.45625,90.0,bottom
D38,~,D_SOD-123F,217.4875,-94.45625,90.0,bottom
D39,~,D_SOD-123F,236.5375,-94.45625,90.0,bottom
D40,~,D_SOD-123F,255.5875,-94.45625,90.0,bottom
D41,~,D_SOD-123F,274.6375,-94.45625,90.0,bottom
D42,~,D_SOD-123F,293.6875,-94.45625,90.0,bottom
D43,~,D_SOD-123F,53.18125,-113.50625,90.0,bottom
D44,~,D_SOD-123F,74.6125,-113.50625,90.0,bottom
D45,~,D_SOD-123F,93.6625,-113.50625,90.0,bottom
D46,~,D_SOD-123F,112.7125,-113.50625,90.0,bottom
D47,~,D_SOD-123F,131.7625,-113.50625,90.0,bottom
D48,~,D_SOD-123F,150.8125,-113.50625,90.0,bottom
D49,~,D_SOD-123F,169.8625,-113.50625,90.0,bottom
D50,~,D_SOD-123F,188.9125,-113.50625,90.0,bottom
D51,~,D_SOD-123F,207.9625,-113.50625,90.0,bottom
D52,~,D_SOD-123F,227.0125,-113.50625,90.0,bottom
D53,~,D_SOD-123F,246.253,-113.538,90.0,bottom
D54,~,D_SOD-123F,265.1125,-113.69375,90.0,bottom
D55,~,D_SOD-123F,291.30625,-113.50625,90.0,bottom
D56,~,D_SOD-123F,317.5,-113.50625,90.0,bottom
D57,~,D_SOD-123F,55.5625,-132.55625,90.0,bottom
D58,~,D_SOD-123F,79.375,-132.55625,90.0,bottom
D59,~,D_SOD-123F,103.1875,-132.55625,90.0,bottom
D60,~,D_SOD-123F,184.15,-132.55625,90.0,bottom
D61,~,D_SOD-123F,265.1125,-132.36875,90.0,bottom
D62,~,D_SOD-123F,288.925,-132.55625,90.0,bottom
D63,~,D_SOD-123F,312.7375,-132.55625,90.0,bottom
F1,500mA,Fuse_0805_2012Metric,168.021,-54.356,90.0,bottom
FB1,Ferrite_Bead_Small,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,170.053,-43.815,0.0,bottom
J1,AVR-ISP-6,Reset_Pretty-Mask,154.305,-127.5195,180.0,bottom
LED1,~,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,127.0,-118.26875,180.0,bottom
LED2,~,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,88.10625,-118.26875,180.0,bottom
LED3,~,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,50.8,-118.26875,180.0,bottom
LED4,~,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,38.7445,-99.21875,90.0,bottom
LED5,~,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,38.7445,-80.16875,90.0,bottom
LED6,~,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,48.41875,-61.11875,0.0,bottom
LED7,~,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,83.34375,-61.11875,0.0,bottom
LED8,~,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,121.44375,-61.11875,0.0,bottom
LED9,~,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,159.54375,-61.11875,0.0,bottom
LED10,~,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,197.64375,-61.11875,0.0,bottom
LED11,~,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,235.74375,-61.11875,0.0,bottom
LED12,~,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,273.84375,-61.11875,0.0,bottom
LED13,~,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,308.76875,-61.11875,0.0,bottom
LED14,~,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,318.44375,-80.16875,270.0,bottom
LED15,~,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,318.44375,-99.21875,270.0,bottom
LED16,~,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,312.7375,-118.26875,180.0,bottom
LED17,~,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,277.8125,-118.26875,180.0,bottom
LED18,~,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,241.3,-118.26875,180.0,bottom
LED19,~,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,202.40625,-118.26875,180.0,bottom
LED20,~,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,164.30625,-118.26875,180.0,bottom
R1,10k,R_0805_2012Metric,128.651,-133.731,0.0,bottom
R2,5.1k,R_0805_2012Metric,175.006,-45.212,0.0,bottom
R3,5.1k,R_0805_2012Metric,184.531,-45.466,180.0,bottom
R4,22,R_0805_2012Metric,136.779,-112.395,90.0,bottom
R5,22,R_0805_2012Metric,138.811,-112.395,90.0,bottom
R6,10k,R_0805_2012Metric,150.749,-122.301,90.0,bottom
SW1,SW_Push,SKQG-1155865,163.957,-126.873,0.0,bottom
U1,ATmega32U4-M,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,134.112,-127.0,0.0,bottom
U2,PRTR5V0U2X,SOT143B,170.688,-52.451,180.0,bottom
USB1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,178.59375,-38.1,180.0,bottom
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,142.3416,-126.9365,90.0,bottom
